,code,trade_year,trade_month,buildfinyear,houseage,buildstyle,area,pricettl,priceper,rooms,manage_y1n0
399,247,106,12,84,22,2,157.67,14500000,91964.0,4,1
400,241,106,12,104,2,3,347.31,44520000,145182.0,5,1
401,241,106,11,104,2,3,215.79000000000002,23950000,121043.0,3,1
402,241,107,1,104,3,3,218.44,26000000,129898.0,3,1
405,241,106,12,84,22,3,77.61,7600000,97926.0,2,1
406,241,107,1,66,41,1,79.0,6750000,85443.0,3,0
407,241,106,12,44,62,6,65.28,7300000,111826.0,3,0
408,235,106,12,86,20,3,161.95999999999998,13900000,85824.0,4,1
416,235,107,1,71,36,1,83.93,7900000,94126.0,3,0
417,235,107,1,77,30,1,106.78,8800000,82412.0,3,1
419,238,106,12,74,32,1,87.02,6300000,72397.0,3,0
420,238,107,1,65,42,1,81.47,7200000,88376.0,3,0
424,237,106,12,84,22,3,110.88000000000001,7500000,67641.0,3,1
425,237,106,12,96,10,3,169.53,10700000,63116.0,3,1
427,220,106,11,50,56,1,74.87,8500000,113530.0,2,0
428,220,106,12,64,42,1,82.95,8000000,96444.0,3,0
429,220,106,12,91,15,2,111.91,15600000,139398.0,3,1
435,251,107,1,97,10,2,113.77,7280000,63989.0,2,1
436,221,107,1,74,33,1,46.89,3300000,70377.0,3,0
437,221,106,12,97,9,3,76.89,8600000,111848.0,2,1
438,231,106,12,63,43,1,109.4,11500000,105119.0,3,0
439,241,107,1,65,42,1,80.0,2715000,33938.0,3,0
440,241,106,12,76,30,1,96.69,7550000,78085.0,3,0
441,235,106,12,87,19,3,114.72,11860000,103382.0,3,1
442,235,107,1,97,10,3,111.06,11780000,107750.0,2,1
443,220,107,1,79,28,1,126.56,1420986,11228.0,3,0
444,239,106,12,50,56,1,88.42,3300000,37322.0,3,0
445,237,107,1,96,11,3,190.25,13000000,79773.0,3,1
446,238,107,1,89,18,2,138.85,9000000,64818.0,3,1
447,220,106,12,50,56,1,49.74,4550000,91476.0,3,0
